Question,Subject,Chapter,Years_Appeared,Frequency,Average_Marks,,Priority,Is_Augmented,Source_Question
Calculate the radiation resistance if the effective height of the aerial is 1/100th of the length of wave emitted.,Antennas and Propagation,2. Radiation of Electric dipole,Winter 2022,1,3,,Low,FALSE,Calculate the radiation resistance if the effective height of the aerial is 1/100th of the length of wave emitted.
"Define the following antenna parameters: Beam solid angle, Directivity, Antenna Aperture, Half Power Beamwidth, Radiation intensity, Antenna radiation efficiency, and Effective length.",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2021, Winter 2021, Summer 2022, Winter 2022, Summer 2023, Winter 2023, Winter 2023, Summer 2024, Winter 2024, Winter 2024, Summer 2025, Winter 2025",12,3.83,,High,FALSE,"Define the following antenna parameters: Beam solid angle, Directivity, Antenna Aperture, Half Power Beamwidth, Radiation intensity, Antenna radiation efficiency, and Effective length."
Derive the expression of Friis transmission formula and explain how it determines loss between two antennas.,Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2021, Summer 2022, Winter 2023, Summer 2024, Winter 2024, Summer 2025",6,6.5,,High,FALSE,Derive the expression of Friis transmission formula and explain how it determines loss between two antennas.
Enlist and discuss about various antenna field zones with figures.,Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2021, Summer 2024, Winter 2024, Summer 2025, Winter 2025",5,3.4,,High,FALSE,Enlist and discuss about various antenna field zones with figures.
Derive the relation between Directivity and Beam area.,Antennas and Propagation,3. Antenna parameters and definitions,Summer 2023,1,4,,Low,FALSE,Derive the relation between Directivity and Beam area.
Differentiate Gain and Directivity.,Antennas and Propagation,3. Antenna parameters and definitions,Summer 2024,1,3,,Low,FALSE,Differentiate Gain and Directivity.
"Find the HPBW, FNBW, beam area, and directivity for given field patterns (e.g., E(theta) = cos^2(theta) or Pn(theta) = cos^3(theta)).",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2023, Summer 2025",2,4,,Medium,FALSE,"Find the HPBW, FNBW, beam area, and directivity for given field patterns (e.g., E(theta) = cos^2(theta) or Pn(theta) = cos^3(theta))."
Explain the difference between radian and steradian and show that one steradian is 3282 square degrees.,Antennas and Propagation,3. Antenna parameters and definitions,Winter 2023,1,4,,Low,FALSE,Explain the difference between radian and steradian and show that one steradian is 3282 square degrees.
What do you mean by isotropic radiator? Compare it with omnidirectional radiator.,Antennas and Propagation,3. Antenna parameters and definitions,Summer 2023,1,4,,Low,FALSE,What do you mean by isotropic radiator? Compare it with omnidirectional radiator.
Derive the mathematical expression for the radiation intensity of an isotropic radiator.,Antennas and Propagation,3. Antenna parameters and definitions,Winter 2025,1,3,,Low,FALSE,Derive the mathematical expression for the radiation intensity of an isotropic radiator.
Show that the directivity of an infinitesimal dipole is 1.76dB (or 3/2).,Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2022, Winter 2025",2,5.5,,Medium,FALSE,Show that the directivity of an infinitesimal dipole is 1.76dB (or 3/2).
Derive the mathematical expression between maximum effective aperture and directivity.,Antennas and Propagation,3. Antenna parameters and definitions,Winter 2025,1,7,,Low,FALSE,Derive the mathematical expression between maximum effective aperture and directivity.
Find the directivity and gain when the input power is 125.66 mW and maximum radiation intensity is 200mW/unit solid angle.,Antennas and Propagation,3. Antenna parameters and definitions,Summer 2022,1,3,,Low,FALSE,Find the directivity and gain when the input power is 125.66 mW and maximum radiation intensity is 200mW/unit solid angle.
Draw the Radiation Pattern and write the relation between directivity and gain.,Antennas and Propagation,3. Antenna parameters and definitions,Summer 2025,1,4,,Low,FALSE,Draw the Radiation Pattern and write the relation between directivity and gain.
Explain in detail about Binomial array and the principle of pattern multiplication for antenna arrays.,Antennas and Propagation,4. Arrays of point sources,"Winter 2021, Summer 2022, Summer 2023, Winter 2023, Winter 2024, Summer 2025, Summer 2025, Winter 2025",8,5.38,,High,FALSE,Explain in detail about Binomial array and the principle of pattern multiplication for antenna arrays.
Discuss Dolph-Tchebysheff distribution for linear arrays.,Antennas and Propagation,4. Arrays of point sources,"Summer 2022, Winter 2023, Summer 2024",3,5,,High,FALSE,Discuss Dolph-Tchebysheff distribution for linear arrays.
Explain Schelkunoff theorems for linear arrays and its usefulness.,Antennas and Propagation,4. Arrays of point sources,"Summer 2023, Summer 2024",2,5.5,,High,FALSE,Explain Schelkunoff theorems for linear arrays and its usefulness.
What do you mean by array? Discuss its types in brief.,Antennas and Propagation,4. Arrays of point sources,Summer 2023,1,3,,Low,FALSE,What do you mean by array? Discuss its types in brief.
"Differentiate broadside array and endfire array, and describe their properties.",Antennas and Propagation,4. Arrays of point sources,"Winter 2021, Summer 2022, Winter 2022, Winter 2025",4,4.25,,High,FALSE,"Differentiate broadside array and endfire array, and describe their properties."
Derive the expression for the far field pattern of an array of point sources (e.g. 2 isotropic sources fed in-phase or out-of-phase).,Antennas and Propagation,4. Arrays of point sources,"Summer 2022, Winter 2022, Winter 2022, Summer 2023, Winter 2023, Winter 2024, Summer 2025",7,6.14,,High,FALSE,Derive the expression for the far field pattern of an array of point sources (e.g. 2 isotropic sources fed in-phase or out-of-phase).
"Design a linear array with a spacing of d = lambda/6 such that it has zeros at theta = 0, 45, and 90 degrees using Schelkunoff's method.",Antennas and Propagation,4. Arrays of point sources,Winter 2023,1,7,,Low,FALSE,"Design a linear array with a spacing of d = lambda/6 such that it has zeros at theta = 0, 45, and 90 degrees using Schelkunoff's method."
Explain the effect of ground on ungrounded antenna.,Antennas and Propagation,4. Arrays of point sources,Summer 2022,1,3,,Low,FALSE,Explain the effect of ground on ungrounded antenna.
Explain the working principle and radiation resistance of small loop antenna.,Antennas and Propagation,5. Loop Antenna,"Summer 2022, Summer 2023, Winter 2024, Summer 2025, Winter 2025",5,5.8,,High,FALSE,Explain the working principle and radiation resistance of small loop antenna.
Derive the directivity of loop antennas for large loop.,Antennas and Propagation,5. Loop Antenna,Winter 2022,1,3,,Low,FALSE,Derive the directivity of loop antennas for large loop.
"Explain helical geometry, pitch angle, axial ratio, modes of radiation, and practical design considerations for helical antennas.",Antennas and Propagation,6. Helical antenna,"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Summer 2024, Winter 2024, Winter 2024, Summer 2025, Winter 2025",9,4.22,,High,FALSE,"Explain helical geometry, pitch angle, axial ratio, modes of radiation, and practical design considerations for helical antennas."
"Explain the construction, operation, and design of Yagi-Uda antenna.",Antennas and Propagation,7. Arrays of dipoles & apertures,"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Winter 2024, Summer 2025, Winter 2025",9,4.22,,High,FALSE,"Explain the construction, operation, and design of Yagi-Uda antenna."
Along with necessary figure explain the principle of Folded dipole.,Antennas and Propagation,7. Arrays of dipoles & apertures,"Winter 2021, Summer 2022, Winter 2022, Summer 2024, Winter 2025",5,3.6,,High,FALSE,Along with necessary figure explain the principle of Folded dipole.
Explain in detail about frequency scanning arrays.,Antennas and Propagation,7. Arrays of dipoles & apertures,Summer 2022,1,7,,Low,FALSE,Explain in detail about frequency scanning arrays.
Explain various types of antennas with their applications.,Antennas and Propagation,7. Arrays of dipoles & apertures,Summer 2023,1,7,,Low,FALSE,Explain various types of antennas with their applications.
Describe smart antennas.,Antennas and Propagation,7. Arrays of dipoles & apertures,Winter 2021,1,4,,Low,FALSE,Describe smart antennas.
Explain Resonant long wire antenna.,Antennas and Propagation,7. Arrays of dipoles & apertures,Winter 2023,1,4,,Low,FALSE,Explain Resonant long wire antenna.
Explain Cassegrain feed and list different types of reflector antennas.,Antennas and Propagation,8. Reflector antennas,"Summer 2022, Winter 2022, Summer 2023, Summer 2024, Winter 2024, Winter 2025",6,4.83,,High,FALSE,Explain Cassegrain feed and list different types of reflector antennas.
"Calculate the diameter of parabolic dish antenna, for given value of gain G = 40 dB and operating frequency 11 GHz.",Antennas and Propagation,8. Reflector antennas,Summer 2022,1,3,,Low,FALSE,"Calculate the diameter of parabolic dish antenna, for given value of gain G = 40 dB and operating frequency 11 GHz."
Calculate the directivity of an antenna with circular aperture of diameter 3 meter at frequency 5 GHz.,Antennas and Propagation,8. Reflector antennas,Summer 2022,1,3,,Low,FALSE,Calculate the directivity of an antenna with circular aperture of diameter 3 meter at frequency 5 GHz.
Explain Feed methods of Parabolic reflectors.,Antennas and Propagation,8. Reflector antennas,Summer 2025,1,7,,Low,FALSE,Explain Feed methods of Parabolic reflectors.
State Babinet's principle and illustrate its application to slot antennas and complementary antennas.,Antennas and Propagation,9. Slot patch & Horn antennas,"Winter 2021, Summer 2022, Summer 2023, Winter 2023, Winter 2024, Summer 2025, Winter 2025",7,4.57,,High,FALSE,State Babinet's principle and illustrate its application to slot antennas and complementary antennas.
"Describe various types of basic horns, optimum horn dimensions, and the design steps for a pyramidal horn.",Antennas and Propagation,9. Slot patch & Horn antennas,"Winter 2021, Summer 2022, Winter 2022, Summer 2024, Summer 2025",5,3.4,,High,FALSE,"Describe various types of basic horns, optimum horn dimensions, and the design steps for a pyramidal horn."
Find the Capture area for a rectangular horn antenna operating at 2 GHz frequency with a gain of 12 dBi.,Antennas and Propagation,9. Slot patch & Horn antennas,Winter 2023,1,3,,Low,FALSE,Find the Capture area for a rectangular horn antenna operating at 2 GHz frequency with a gain of 12 dBi.
"Describe the working principle, design, feeding methods, and radiation mechanism of microstrip patch antennas.",Antennas and Propagation,10. Microstrip (patch) antennas,"Winter 2021, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Winter 2024, Summer 2025, Winter 2025",8,5.38,,High,FALSE,"Describe the working principle, design, feeding methods, and radiation mechanism of microstrip patch antennas."
"Explain Non-metallic Dielectric lens and artificial dielectric lens antennas, their types, advantages, and disadvantages.",Antennas and Propagation,11. Lens antennas,"Winter 2021, Summer 2022, Winter 2022, Winter 2023, Winter 2023, Summer 2024, Winter 2024, Summer 2025, Winter 2025",9,4.67,,High,FALSE,"Explain Non-metallic Dielectric lens and artificial dielectric lens antennas, their types, advantages, and disadvantages."
"Explain log-periodic antenna works as frequency independent antenna, and design log periodic dipole array.",Antennas and Propagation,12. Broadband & Freq. Independent antennas,"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Winter 2023, Winter 2023, Winter 2024, Summer 2025, Winter 2025",9,5.44,,High,FALSE,"Explain log-periodic antenna works as frequency independent antenna, and design log periodic dipole array."
Explain in brief about antennas for satellite communication and mobile communication.,Antennas and Propagation,13. Antennas for special applications,"Summer 2023, Winter 2024, Winter 2025",3,3.33,,High,FALSE,Explain in brief about antennas for satellite communication and mobile communication.
Explain the Ultra-wideband antenna (UWB) antenna for Digital application.,Antennas and Propagation,13. Antennas for special applications,"Winter 2021, Summer 2024, Winter 2025",3,3.67,,High,FALSE,Explain the Ultra-wideband antenna (UWB) antenna for Digital application.
What are the properties of Plasma antenna? Give the working principle of plasma antenna.,Antennas and Propagation,13. Antennas for special applications,"Winter 2022, Winter 2023",2,3.5,,High,FALSE,What are the properties of Plasma antenna? Give the working principle of plasma antenna.
Explain embedded antenna.,Antennas and Propagation,13. Antennas for special applications,Winter 2024,1,4,,Low,FALSE,Explain embedded antenna.
Explain the experimental setup for the measurement of Gain of antenna under test and enlist antenna gain methods.,Antennas and Propagation,14. Antennas measurements,"Winter 2021, Winter 2022, Summer 2023, Winter 2023, Winter 2024, Summer 2025, Winter 2025",7,6.14,,High,FALSE,Explain the experimental setup for the measurement of Gain of antenna under test and enlist antenna gain methods.
Describe phase measurement method used in antenna system in detail.,Antennas and Propagation,14. Antennas measurements,"Summer 2024, Winter 2025",2,5,,High,FALSE,Describe phase measurement method used in antenna system in detail.
Derive the equation of measurement of Impedance of Antenna under test (AUT) using slotted line.,Antennas and Propagation,14. Antennas measurements,Winter 2023,1,4,,Low,FALSE,Derive the equation of measurement of Impedance of Antenna under test (AUT) using slotted line.
"Explain different modes of radio wave propagation (Ground, Sky, Space wave) and their definitions.",Antennas and Propagation,15. Radio wave propagation,"Summer 2022, Winter 2022, Summer 2023, Summer 2024, Winter 2024, Winter 2024, Summer 2025, Winter 2025",8,5.25,,High,FALSE,"Explain different modes of radio wave propagation (Ground, Sky, Space wave) and their definitions."
"Explain terms with reference to Wave propagation: Super refraction, Multi hop Propagation, Skip distance, Virtual Height, MUF, critical frequency.",Antennas and Propagation,15. Radio wave propagation,"Winter 2021, Summer 2022, Winter 2022, Winter 2023, Summer 2024, Summer 2024, Winter 2024, Summer 2025, Summer 2025, Winter 2025, Winter 2025",11,4.27,,High,FALSE,"Explain terms with reference to Wave propagation: Super refraction, Multi hop Propagation, Skip distance, Virtual Height, MUF, critical frequency."
With figure describe the ionization layers and the structure of ionosphere.,Antennas and Propagation,15. Radio wave propagation,"Winter 2021, Summer 2022, Summer 2023, Summer 2025",4,4,,High,FALSE,With figure describe the ionization layers and the structure of ionosphere.
Define Radio Horizon and Optical Horizon. Derive the equation of effective earth radius with proper diagram.,Antennas and Propagation,15. Radio wave propagation,Winter 2023,1,7,,Low,FALSE,Define Radio Horizon and Optical Horizon. Derive the equation of effective earth radius with proper diagram.
Define the following terms with figure: i) Duct propagation ii) Linear polarization.,Antennas and Propagation,15. Radio wave propagation,Summer 2023,1,4,,Low,FALSE,Define the following terms with figure: i) Duct propagation ii) Linear polarization.
Define Scattering. Draw the diagram of Tropospheric scatter and explain it.,Antennas and Propagation,15. Radio wave propagation,Winter 2023,1,3,,Low,FALSE,Define Scattering. Draw the diagram of Tropospheric scatter and explain it.
"Briefly, describe the antenna term in different ways, and compare antenna with transmission line.",Antennas and Propagation,1. Basic antenna concepts,"Summer 2023, Winter 2024",2,3,,High,TRUE,"Define the antenna term in different ways, and compare antenna with transmission line."
"In brief, define the antenna term in different ways, and compare antenna with transmission line.",Antennas and Propagation,1. Basic antenna concepts,"Summer 2023, Winter 2024",2,3,,High,TRUE,"Define the antenna term in different ways, and compare antenna with transmission line."
"Briefly, explain the antenna term in different ways, and compare antenna with transmission line.",Antennas and Propagation,1. Basic antenna concepts,"Summer 2023, Winter 2024",2,3,,High,TRUE,"Define the antenna term in different ways, and compare antenna with transmission line."
"To summarize, define the antenna term in different ways, and compare antenna with transmission line.",Antennas and Propagation,1. Basic antenna concepts,"Summer 2023, Winter 2024",2,3,,High,TRUE,"Define the antenna term in different ways, and compare antenna with transmission line."
"In short, define the antenna term in different ways, and compare antenna with transmission line.",Antennas and Propagation,1. Basic antenna concepts,"Summer 2023, Winter 2024",2,3,,High,TRUE,"Define the antenna term in different ways, and compare antenna with transmission line."
"Briefly, illustrate and explain different parts of radiation pattern.",Antennas and Propagation,1. Basic antenna concepts,"Summer 2023, Winter 2024",2,3,,High,TRUE,Draw and explain different parts of radiation pattern.
"In short, draw and explain different parts of radiation pattern.",Antennas and Propagation,1. Basic antenna concepts,"Summer 2023, Winter 2024",2,3,,High,TRUE,Draw and explain different parts of radiation pattern.
"Briefly, sketch and explain different parts of radiation pattern.",Antennas and Propagation,1. Basic antenna concepts,"Summer 2023, Winter 2024",2,3,,High,TRUE,Draw and explain different parts of radiation pattern.
"Briefly, draw and explain different parts of radiation pattern.",Antennas and Propagation,1. Basic antenna concepts,"Summer 2023, Winter 2024",2,3,,High,TRUE,Draw and explain different parts of radiation pattern.
"To summarize, sketch and explain different parts of radiation pattern.",Antennas and Propagation,1. Basic antenna concepts,"Summer 2023, Winter 2024",2,3,,High,TRUE,Draw and explain different parts of radiation pattern.
"To summarize, list down different types of antennas and explain them.",Antennas and Propagation,1. Basic antenna concepts,"Winter 2022, Summer 2025, Winter 2025",3,5,,Medium,TRUE,List down different types of antennas and explain them.
"To summarize, enumerate down different types of antennas and explain them.",Antennas and Propagation,1. Basic antenna concepts,"Winter 2022, Summer 2025, Winter 2025",3,5,,Medium,TRUE,List down different types of antennas and explain them.
"Briefly, list down various types of antennas and explain them.",Antennas and Propagation,1. Basic antenna concepts,"Winter 2022, Summer 2025, Winter 2025",3,5,,Medium,TRUE,List down different types of antennas and explain them.
"Briefly, enlist down different types of antennas and explain them.",Antennas and Propagation,1. Basic antenna concepts,"Winter 2022, Summer 2025, Winter 2025",3,5,,Medium,TRUE,List down different types of antennas and explain them.
"Briefly, list down different types of antennas and explain them.",Antennas and Propagation,1. Basic antenna concepts,"Winter 2022, Summer 2025, Winter 2025",3,5,,Medium,TRUE,List down different types of antennas and explain them.
"In short, explain the various kinds of antenna apertures.",Antennas and Propagation,1. Basic antenna concepts,Summer 2024,1,3,,Low,TRUE,Explain different types of antenna apertures.
Describe different types of antenna apertures.,Antennas and Propagation,1. Basic antenna concepts,Summer 2024,1,3,,Low,TRUE,Explain different types of antenna apertures.
"To summarize, describe different types of antenna apertures.",Antennas and Propagation,1. Basic antenna concepts,Summer 2024,1,3,,Low,TRUE,Explain different types of antenna apertures.
"Briefly, discuss different types of antenna apertures.",Antennas and Propagation,1. Basic antenna concepts,Summer 2024,1,3,,Low,TRUE,Explain different types of antenna apertures.
"To summarize, explain various types of antenna apertures.",Antennas and Propagation,1. Basic antenna concepts,Summer 2024,1,3,,Low,TRUE,Explain different types of antenna apertures.
"To summarize, obtain the ratio of E_theta and H_phi field components of a current element in free space with derivations using Maxwell's equations.",Antennas and Propagation,2. Radiation of Electric dipole,"Winter 2021, Summer 2022, Winter 2022, Winter 2022, Summer 2024",5,6.4,,High,TRUE,Obtain the ratio of E_theta and H_phi field components of a current element in free space with derivations using Maxwell's equations.
"In short, obtain the ratio of E_theta and H_phi field components of a current element in free space with derivations using Maxwell's equations.",Antennas and Propagation,2. Radiation of Electric dipole,"Winter 2021, Summer 2022, Winter 2022, Winter 2022, Summer 2024",5,6.4,,High,TRUE,Obtain the ratio of E_theta and H_phi field components of a current element in free space with derivations using Maxwell's equations.
"In brief, obtain the ratio of E_theta and H_phi field components of a current element in free space with derivations using Maxwell's equations.",Antennas and Propagation,2. Radiation of Electric dipole,"Winter 2021, Summer 2022, Winter 2022, Winter 2022, Summer 2024",5,6.4,,High,TRUE,Obtain the ratio of E_theta and H_phi field components of a current element in free space with derivations using Maxwell's equations.
"Concisely, obtain the ratio of E_theta and H_phi field components of a current element in free space with derivations using Maxwell's equations.",Antennas and Propagation,2. Radiation of Electric dipole,"Winter 2021, Summer 2022, Winter 2022, Winter 2022, Summer 2024",5,6.4,,High,TRUE,Obtain the ratio of E_theta and H_phi field components of a current element in free space with derivations using Maxwell's equations.
"Briefly, obtain the ratio of E_theta and H_phi field components of a current element in free space with derivations using Maxwell's equations.",Antennas and Propagation,2. Radiation of Electric dipole,"Winter 2021, Summer 2022, Winter 2022, Winter 2022, Summer 2024",5,6.4,,High,TRUE,Obtain the ratio of E_theta and H_phi field components of a current element in free space with derivations using Maxwell's equations.
"In short, derive an expression for electric and magnetic components of a short dipole antenna if the spherical system is defined in r, theta and phi.",Antennas and Propagation,2. Radiation of Electric dipole,"Summer 2023, Winter 2024",2,7,,High,TRUE,"Derive an expression for electric and magnetic components of a short dipole antenna if the spherical system is defined in r, theta and phi."
"Briefly, derive an expression for electric and magnetic components of a short dipole antenna if the spherical system is defined in r, theta and phi.",Antennas and Propagation,2. Radiation of Electric dipole,"Summer 2023, Winter 2024",2,7,,High,TRUE,"Derive an expression for electric and magnetic components of a short dipole antenna if the spherical system is defined in r, theta and phi."
"Obtain an expression for electric and magnetic components of a short dipole antenna if the spherical system is defined in r, theta and phi.",Antennas and Propagation,2. Radiation of Electric dipole,"Summer 2023, Winter 2024",2,7,,High,TRUE,"Derive an expression for electric and magnetic components of a short dipole antenna if the spherical system is defined in r, theta and phi."
"In brief, deduce an expression for electric and magnetic components of a short dipole antenna if the spherical system is defined in r, theta and phi.",Antennas and Propagation,2. Radiation of Electric dipole,"Summer 2023, Winter 2024",2,7,,High,TRUE,"Derive an expression for electric and magnetic components of a short dipole antenna if the spherical system is defined in r, theta and phi."
"Concisely, derive an expression for electric and magnetic components of a short dipole antenna if the spherical system is defined in r, theta and phi.",Antennas and Propagation,2. Radiation of Electric dipole,"Summer 2023, Winter 2024",2,7,,High,TRUE,"Derive an expression for electric and magnetic components of a short dipole antenna if the spherical system is defined in r, theta and phi."
"In brief, derive the expression for the radiation resistance of half-wave dipole and prove that it is 73 Ohm.",Antennas and Propagation,2. Radiation of Electric dipole,"Winter 2021, Winter 2022, Summer 2024, Winter 2024, Winter 2025",5,7,,High,TRUE,Derive the expression for the radiation resistance of half-wave dipole and prove that it is 73 Ohm.
"In short, derive the expression for the radiation resistance of half-wave dipole and prove that it is 73 Ohm.",Antennas and Propagation,2. Radiation of Electric dipole,"Winter 2021, Winter 2022, Summer 2024, Winter 2024, Winter 2025",5,7,,High,TRUE,Derive the expression for the radiation resistance of half-wave dipole and prove that it is 73 Ohm.
"Briefly, obtain the expression for the radiation resistance of half-wave dipole and prove that it is 73 Ohm.",Antennas and Propagation,2. Radiation of Electric dipole,"Winter 2021, Winter 2022, Summer 2024, Winter 2024, Winter 2025",5,7,,High,TRUE,Derive the expression for the radiation resistance of half-wave dipole and prove that it is 73 Ohm.
"To summarize, deduce the expression for the radiation resistance of half-wave dipole and prove that it is 73 Ohm.",Antennas and Propagation,2. Radiation of Electric dipole,"Winter 2021, Winter 2022, Summer 2024, Winter 2024, Winter 2025",5,7,,High,TRUE,Derive the expression for the radiation resistance of half-wave dipole and prove that it is 73 Ohm.
Deduce the expression for the radiation resistance of half-wave dipole and prove that it is 73 Ohm.,Antennas and Propagation,2. Radiation of Electric dipole,"Winter 2021, Winter 2022, Summer 2024, Winter 2024, Winter 2025",5,7,,High,TRUE,Derive the expression for the radiation resistance of half-wave dipole and prove that it is 73 Ohm.
"To summarize, derive the far field components and radiation resistance of a small circular loop.",Antennas and Propagation,2. Radiation of Electric dipole,"Winter 2021, Summer 2024, Winter 2024, Summer 2025, Winter 2025",5,7,,High,TRUE,Derive the far field components and radiation resistance of a small circular loop.
"In short, derive the far field components and radiation resistance of a small circular loop.",Antennas and Propagation,2. Radiation of Electric dipole,"Winter 2021, Summer 2024, Winter 2024, Summer 2025, Winter 2025",5,7,,High,TRUE,Derive the far field components and radiation resistance of a small circular loop.
Obtain the far field components and radiation resistance of a small circular loop.,Antennas and Propagation,2. Radiation of Electric dipole,"Winter 2021, Summer 2024, Winter 2024, Summer 2025, Winter 2025",5,7,,High,TRUE,Derive the far field components and radiation resistance of a small circular loop.
"Briefly, obtain the far field components and radiation resistance of a small circular loop.",Antennas and Propagation,2. Radiation of Electric dipole,"Winter 2021, Summer 2024, Winter 2024, Summer 2025, Winter 2025",5,7,,High,TRUE,Derive the far field components and radiation resistance of a small circular loop.
"Concisely, obtain the far field components and radiation resistance of a small circular loop.",Antennas and Propagation,2. Radiation of Electric dipole,"Winter 2021, Summer 2024, Winter 2024, Summer 2025, Winter 2025",5,7,,High,TRUE,Derive the far field components and radiation resistance of a small circular loop.
"In short, obtain the far field components of a monopole antenna.",Antennas and Propagation,2. Radiation of Electric dipole,Winter 2025,1,7,,Low,TRUE,Derive the far field components of a monopole antenna.
"Briefly, derive the far field components of a monopole antenna.",Antennas and Propagation,2. Radiation of Electric dipole,Winter 2025,1,7,,Low,TRUE,Derive the far field components of a monopole antenna.
"To summarize, obtain the far field components of a monopole antenna.",Antennas and Propagation,2. Radiation of Electric dipole,Winter 2025,1,7,,Low,TRUE,Derive the far field components of a monopole antenna.
"In short, derive the far field components of a monopole antenna.",Antennas and Propagation,2. Radiation of Electric dipole,Winter 2025,1,7,,Low,TRUE,Derive the far field components of a monopole antenna.
Obtain the far field components of a monopole antenna.,Antennas and Propagation,2. Radiation of Electric dipole,Winter 2025,1,7,,Low,TRUE,Derive the far field components of a monopole antenna.
"Concisely, deduce reciprocity theorem for antennas. Show that the transmitting and receiving radiation patterns of an antenna are equal.",Antennas and Propagation,2. Radiation of Electric dipole,Winter 2021,1,7,,Low,TRUE,Derive reciprocity theorem for antennas. Show that the transmitting and receiving radiation patterns of an antenna are equal.
"To summarize, derive reciprocity theorem for antennas. Show that the transmitting and receiving radiation patterns of an antenna are equal.",Antennas and Propagation,2. Radiation of Electric dipole,Winter 2021,1,7,,Low,TRUE,Derive reciprocity theorem for antennas. Show that the transmitting and receiving radiation patterns of an antenna are equal.
Obtain reciprocity theorem for antennas. Show that the transmitting and receiving radiation patterns of an antenna are equal.,Antennas and Propagation,2. Radiation of Electric dipole,Winter 2021,1,7,,Low,TRUE,Derive reciprocity theorem for antennas. Show that the transmitting and receiving radiation patterns of an antenna are equal.
"Briefly, deduce reciprocity theorem for antennas. Show that the transmitting and receiving radiation patterns of an antenna are equal.",Antennas and Propagation,2. Radiation of Electric dipole,Winter 2021,1,7,,Low,TRUE,Derive reciprocity theorem for antennas. Show that the transmitting and receiving radiation patterns of an antenna are equal.
"Briefly, obtain reciprocity theorem for antennas. Show that the transmitting and receiving radiation patterns of an antenna are equal.",Antennas and Propagation,2. Radiation of Electric dipole,Winter 2021,1,7,,Low,TRUE,Derive reciprocity theorem for antennas. Show that the transmitting and receiving radiation patterns of an antenna are equal.
"In short, calculate the radiation resistance if the effective height of the aerial is 1/100th of the length of wave emitted.",Antennas and Propagation,2. Radiation of Electric dipole,Winter 2022,1,3,,Low,TRUE,Calculate the radiation resistance if the effective height of the aerial is 1/100th of the length of wave emitted.
"In brief, calculate the radiation resistance if the effective height of the aerial is 1/100th of the length of wave emitted.",Antennas and Propagation,2. Radiation of Electric dipole,Winter 2022,1,3,,Low,TRUE,Calculate the radiation resistance if the effective height of the aerial is 1/100th of the length of wave emitted.
