Question,Subject,Chapter,Years_Appeared,Frequency,Average_Marks,,Priority,Is_Augmented,Source_Question
"Compare the advantages and disadvantages of data transfers using serial and parallel ports, and describe SPI protocol.",Embedded Systems,2. Device and Communication Buses,"Summer 2022, Winter 2022",2,5.5,,Medium,FALSE,"Compare the advantages and disadvantages of data transfers using serial and parallel ports, and describe SPI protocol."
"Differentiate between serial and parallel communication, and explain USART protocol in brief.",Embedded Systems,2. Device and Communication Buses,"Summer 2023, Winter 2023, Winter 2024, Winter 2025",4,4.25,,High,FALSE,"Differentiate between serial and parallel communication, and explain USART protocol in brief."
List the features associated with AHB and ASB Buses.,Embedded Systems,2. Device and Communication Buses,Summer 2023,1,4,,Low,FALSE,List the features associated with AHB and ASB Buses.
Explain I2C and CAN bus protocols in brief.,Embedded Systems,2. Device and Communication Buses,"Summer 2023, Winter 2023, Winter 2023, Winter 2025, Winter 2025",5,7,,High,FALSE,Explain I2C and CAN bus protocols in brief.
Explain UART protocol in Serial Communication.,Embedded Systems,2. Device and Communication Buses,Winter 2021,1,4,,Low,FALSE,Explain UART protocol in Serial Communication.
Explain USB Protocol in detail.,Embedded Systems,2. Device and Communication Buses,Summer 2024,1,7,,Low,FALSE,Explain USB Protocol in detail.
Explain the working of the Secure Digital Input Output (SDIO) protocol.,Embedded Systems,2. Device and Communication Buses,Summer 2025,1,7,,Low,FALSE,Explain the working of the Secure Digital Input Output (SDIO) protocol.
Explain the working of Spy-Bi-Wire serial communication protocol.,Embedded Systems,2. Device and Communication Buses,Summer 2025,1,7,,Low,FALSE,Explain the working of Spy-Bi-Wire serial communication protocol.
Discuss the features and applications of Parallel Communication protocols.,Embedded Systems,2. Device and Communication Buses,Winter 2024,1,7,,Low,FALSE,Discuss the features and applications of Parallel Communication protocols.
Explain the role of Timer and Counting Devices in embedded systems.,Embedded Systems,2. Device and Communication Buses,Winter 2024,1,3,,Low,FALSE,Explain the role of Timer and Counting Devices in embedded systems.
Describe AMBA protocol and its variants.,Embedded Systems,2. Device and Communication Buses,Winter 2025,1,7,,Low,FALSE,Describe AMBA protocol and its variants.
Describe the busy wait approach and interrupt mechanism for accessing I/O.,Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Summer 2022, Summer 2022, Winter 2023",3,3,,High,FALSE,Describe the busy wait approach and interrupt mechanism for accessing I/O.
Describe Direct Memory Access (DMA) and the operation of a DMA controller.,Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2021, Summer 2022, Winter 2022, Winter 2023, Winter 2024, Summer 2025, Winter 2025",7,5.29,,High,FALSE,Describe Direct Memory Access (DMA) and the operation of a DMA controller.
Explain different types of interrupt sources.,Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Summer 2023,1,3,,Low,FALSE,Explain different types of interrupt sources.
Explain the concept of Interrupt Service Routine (ISR).,Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2022, Winter 2024, Summer 2025",3,3.67,,High,FALSE,Explain the concept of Interrupt Service Routine (ISR).
What is a Device Driver and explain the role of interrupts in device driver programming.,Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2021, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Winter 2024, Winter 2025",7,5.71,,High,FALSE,What is a Device Driver and explain the role of interrupts in device driver programming.
List down the steps executed before handling an Interrupt in an embedded system.,Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2021, Summer 2024",2,3,,Medium,FALSE,List down the steps executed before handling an Interrupt in an embedded system.
Differentiate between Function and ISR.,Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Winter 2021,1,3,,Low,FALSE,Differentiate between Function and ISR.
Describe the classification of processor interrupt service mechanisms.,Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Winter 2024,1,7,,Low,FALSE,Describe the classification of processor interrupt service mechanisms.
Discuss the context-switching mechanism in the presence of multiple interrupts.,Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2024, Summer 2025",2,5,,High,FALSE,Discuss the context-switching mechanism in the presence of multiple interrupts.
Define Interrupt Deadline. How does an embedded software designer solve the interrupt deadline problem?,Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Winter 2025,1,3,,Low,FALSE,Define Interrupt Deadline. How does an embedded software designer solve the interrupt deadline problem?
Enumerate various I/O types of an embedded system and explain them with examples.,Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Winter 2021,1,7,,Low,FALSE,Enumerate various I/O types of an embedded system and explain them with examples.
"Explain Interrupt Latency and Interrupt Service Deadline, and describe the parameters governing their values.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2021, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Winter 2024, Winter 2025",7,3.86,,High,FALSE,"Explain Interrupt Latency and Interrupt Service Deadline, and describe the parameters governing their values."
Differentiate between Process and Thread.,Embedded Systems,4. Inter-process Communication,"Summer 2022, Winter 2023, Summer 2024",3,4,,High,FALSE,Differentiate between Process and Thread.
"Compare process, task and thread with an appropriate example.",Embedded Systems,4. Inter-process Communication,"Winter 2022, Summer 2023",2,7,,High,FALSE,"Compare process, task and thread with an appropriate example."
"Differentiate between a Task, a Function and an Interrupt Service Routine.",Embedded Systems,4. Inter-process Communication,Winter 2022,1,4,,Low,FALSE,"Differentiate between a Task, a Function and an Interrupt Service Routine."
Describe the shared data problem with an example and its solutions.,Embedded Systems,4. Inter-process Communication,"Summer 2022, Winter 2022, Winter 2023, Winter 2024",4,5,,High,FALSE,Describe the shared data problem with an example and its solutions.
"Describe Mailbox, Pipe, Socket, and RPC functions used for Inter-Process Communication (IPC).",Embedded Systems,4. Inter-process Communication,"Summer 2022, Summer 2023, Summer 2024, Winter 2024, Winter 2024, Winter 2025",6,4.83,,High,FALSE,"Describe Mailbox, Pipe, Socket, and RPC functions used for Inter-Process Communication (IPC)."
"Describe priority inversion and deadlock conditions, and how to solve these issues.",Embedded Systems,4. Inter-process Communication,"Summer 2022, Winter 2023, Winter 2025",3,7,,High,FALSE,"Describe priority inversion and deadlock conditions, and how to solve these issues."
What is a Semaphore? Explain where it can be utilized along with its advantages and disadvantages.,Embedded Systems,4. Inter-process Communication,"Winter 2021, Winter 2022, Summer 2023, Summer 2024, Winter 2024, Summer 2025, Winter 2025",7,5.14,,High,FALSE,What is a Semaphore? Explain where it can be utilized along with its advantages and disadvantages.
Differentiate between Binary Semaphore and Mutex.,Embedded Systems,4. Inter-process Communication,"Summer 2022, Winter 2022, Winter 2023, Summer 2025",4,4.75,,High,FALSE,Differentiate between Binary Semaphore and Mutex.
Define Process Control Block (PCB) and list the data fields included in it.,Embedded Systems,4. Inter-process Communication,"Winter 2021, Summer 2022, Summer 2023",3,3.33,,High,FALSE,Define Process Control Block (PCB) and list the data fields included in it.
Describe Critical Section and how to achieve this functionality in programming.,Embedded Systems,4. Inter-process Communication,Summer 2022,1,4,,Low,FALSE,Describe Critical Section and how to achieve this functionality in programming.
What is Inter-Process Communication (IPC)? List down and explain methods of IPC in brief.,Embedded Systems,4. Inter-process Communication,"Winter 2021, Summer 2024, Summer 2025",3,5,,High,FALSE,What is Inter-Process Communication (IPC)? List down and explain methods of IPC in brief.
Discuss the role of signal functions in process communication.,Embedded Systems,4. Inter-process Communication,Winter 2024,1,7,,Low,FALSE,Discuss the role of signal functions in process communication.
"Describe Lock, Unlock and Spin-lock mechanisms used for Inter-Process Communication.",Embedded Systems,4. Inter-process Communication,Winter 2025,1,7,,Low,FALSE,"Describe Lock, Unlock and Spin-lock mechanisms used for Inter-Process Communication."
Compare the characteristics of tasks and ISRs.,Embedded Systems,4. Inter-process Communication,Winter 2024,1,7,,Low,FALSE,Compare the characteristics of tasks and ISRs.
Differentiate between Multiprocessing and Multithreading.,Embedded Systems,4. Inter-process Communication,Summer 2025,1,7,,Low,FALSE,Differentiate between Multiprocessing and Multithreading.
Define RTOS. Enlist types of RTOS with examples.,Embedded Systems,5. Introduction to OS and Real Time Operating System,"Winter 2021, Summer 2022, Summer 2023, Winter 2023, Winter 2025",5,3.4,,High,FALSE,Define RTOS. Enlist types of RTOS with examples.
Define and explain different Benchmarking parameters for an RTOS.,Embedded Systems,5. Introduction to OS and Real Time Operating System,"Summer 2023, Summer 2025",2,4,,Medium,FALSE,Define and explain different Benchmarking parameters for an RTOS.
Describe the differences between Hard Real Time and Soft Real Time System with examples.,Embedded Systems,5. Introduction to OS and Real Time Operating System,"Winter 2022, Summer 2023",2,3.5,,High,FALSE,Describe the differences between Hard Real Time and Soft Real Time System with examples.
Write down the key features and services of an Operating System.,Embedded Systems,5. Introduction to OS and Real Time Operating System,"Summer 2024, Winter 2024, Summer 2025",3,3,,High,FALSE,Write down the key features and services of an Operating System.
Write down advantages and disadvantages of RTOS.,Embedded Systems,5. Introduction to OS and Real Time Operating System,Summer 2024,1,4,,Low,FALSE,Write down advantages and disadvantages of RTOS.
Describe memory and file management in RTOS.,Embedded Systems,5. Introduction to OS and Real Time Operating System,"Winter 2021, Winter 2022, Winter 2022, Summer 2023",4,6.25,,High,FALSE,Describe memory and file management in RTOS.
Explain task scheduling in RTOS.,Embedded Systems,5. Introduction to OS and Real Time Operating System,Winter 2021,1,4,,Low,FALSE,Explain task scheduling in RTOS.
What do you understand by Interrupt Service Thread? Explain its usage with an example in RTOS based systems.,Embedded Systems,5. Introduction to OS and Real Time Operating System,Winter 2022,1,4,,Low,FALSE,What do you understand by Interrupt Service Thread? Explain its usage with an example in RTOS based systems.
List down the services provided by RTOS.,Embedded Systems,5. Introduction to OS and Real Time Operating System,"Winter 2021, Summer 2024",2,3,,Medium,FALSE,List down the services provided by RTOS.
Describe the Earliest Deadline First (EDF) mechanism with an example.,Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Summer 2022, Winter 2023, Summer 2024, Summer 2025, Winter 2025",5,4.2,,High,FALSE,Describe the Earliest Deadline First (EDF) mechanism with an example.
Describe the Round-robin with interrupt mechanism for embedded software.,Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Summer 2022, Winter 2023, Summer 2024, Summer 2025",4,6,,High,FALSE,Describe the Round-robin with interrupt mechanism for embedded software.
Describe and compare co-operative and pre-emptive scheduling mechanisms.,Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Summer 2022, Summer 2023, Winter 2023, Winter 2023, Summer 2024, Winter 2024, Winter 2025",7,4.29,,High,FALSE,Describe and compare co-operative and pre-emptive scheduling mechanisms.
Explain process context switching and thread context switching in detail.,Embedded Systems,6. Software architectures and Real Time Task Scheduling,Summer 2023,1,7,,Low,FALSE,Explain process context switching and thread context switching in detail.
Differentiate between Clock-driven and Event-driven Scheduling.,Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Summer 2024, Winter 2024, Summer 2025",3,5,,High,FALSE,Differentiate between Clock-driven and Event-driven Scheduling.
Write down various types of states of tasks and explain them.,Embedded Systems,6. Software architectures and Real Time Task Scheduling,Summer 2024,1,7,,Low,FALSE,Write down various types of states of tasks and explain them.
Explain Rate-monotonic scheduling.,Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Winter 2024, Summer 2025",2,5.5,,High,FALSE,Explain Rate-monotonic scheduling.
Describe Function Queue Scheduling mechanism.,Embedded Systems,6. Software architectures and Real Time Task Scheduling,Winter 2025,1,4,,Low,FALSE,Describe Function Queue Scheduling mechanism.
What is a Scheduler? Explain any one scheduling policies.,Embedded Systems,6. Software architectures and Real Time Task Scheduling,Winter 2022,1,3,,Low,FALSE,What is a Scheduler? Explain any one scheduling policies.
Name all the RTOS task scheduling models. Describe any one in brief.,Embedded Systems,6. Software architectures and Real Time Task Scheduling,Winter 2022,1,3,,Low,FALSE,Name all the RTOS task scheduling models. Describe any one in brief.
Sketch and describe the block diagram and basic architecture of MSP430 and its registers.,Embedded Systems,7. MSP430 (Case Study),"Summer 2022, Winter 2022, Winter 2025",3,3.33,,Medium,FALSE,Sketch and describe the block diagram and basic architecture of MSP430 and its registers.
Describe the low-power features and modes of MSP430 microcontrollers.,Embedded Systems,7. MSP430 (Case Study),"Winter 2021, Summer 2022, Summer 2024, Winter 2024, Winter 2025",5,4.2,,High,FALSE,Describe the low-power features and modes of MSP430 microcontrollers.
Sketch interfacing diagram and write C-code to count switch presses using interrupts with MSP430.,Embedded Systems,7. MSP430 (Case Study),Summer 2022,1,7,,Low,FALSE,Sketch interfacing diagram and write C-code to count switch presses using interrupts with MSP430.
Describe the multiplexing scheme in MSP430 processor for the port pins.,Embedded Systems,7. MSP430 (Case Study),"Summer 2022, Winter 2022, Winter 2023",3,3,,High,FALSE,Describe the multiplexing scheme in MSP430 processor for the port pins.
Describe the clocking system and various sources of clock in MSP430 processor.,Embedded Systems,7. MSP430 (Case Study),"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Summer 2024, Summer 2025, Winter 2025",7,3.86,,High,FALSE,Describe the clocking system and various sources of clock in MSP430 processor.
Describe MSP430 timer modes available for Timer-A and write a C-program to generate square wave on port pin P1.0 using Timer-A.,Embedded Systems,7. MSP430 (Case Study),"Summer 2022, Winter 2022, Winter 2022, Winter 2023",4,7,,High,FALSE,Describe MSP430 timer modes available for Timer-A and write a C-program to generate square wave on port pin P1.0 using Timer-A.
Explain the function of Watchdog timer in MSP430 processor.,Embedded Systems,7. MSP430 (Case Study),"Summer 2023, Summer 2024",2,3,,High,FALSE,Explain the function of Watchdog timer in MSP430 processor.
"Describe reset conditions of MSP430: BOR, POR and PUC.",Embedded Systems,7. MSP430 (Case Study),"Summer 2023, Winter 2023",2,3.5,,Medium,FALSE,"Describe reset conditions of MSP430: BOR, POR and PUC."
Explain interrupt handling process in MSP430.,Embedded Systems,7. MSP430 (Case Study),Summer 2023,1,7,,Low,FALSE,Explain interrupt handling process in MSP430.
Explain how the timers of MSP430 can be configured for PWM generation.,Embedded Systems,7. MSP430 (Case Study),"Winter 2021, Summer 2023, Summer 2024",3,7,,High,FALSE,Explain how the timers of MSP430 can be configured for PWM generation.
List down various registers of MSP430 processor with their functions.,Embedded Systems,7. MSP430 (Case Study),Summer 2024,1,7,,Low,FALSE,List down various registers of MSP430 processor with their functions.
Describe MSP430 USCI module and its modes.,Embedded Systems,7. MSP430 (Case Study),"Winter 2023, Summer 2025",2,3,,Medium,FALSE,Describe MSP430 USCI module and its modes.
Explain the special features associated with GPIO port pins in MSP430 other than simple digital input output port pin characteristics.,Embedded Systems,7. MSP430 (Case Study),"Winter 2022, Summer 2025",2,3,,Medium,FALSE,Explain the special features associated with GPIO port pins in MSP430 other than simple digital input output port pin characteristics.
Draw interfacing diagram to interface 8 LEDs with MSP430 and write C-code to turn them ON in ring counter fashion.,Embedded Systems,7. MSP430 (Case Study),"Winter 2023, Summer 2025",2,7,,Medium,FALSE,Draw interfacing diagram to interface 8 LEDs with MSP430 and write C-code to turn them ON in ring counter fashion.
Write a C code to display HELLO on common anode seven segment LED interfaced with GPIO pins of MSP430. Show necessary diagram.,Embedded Systems,7. MSP430 (Case Study),Winter 2021,1,7,,Low,FALSE,Write a C code to display HELLO on common anode seven segment LED interfaced with GPIO pins of MSP430. Show necessary diagram.
MSP430 is having an orthogonal CPU architecture supported with RISC features. Justify the statement.,Embedded Systems,7. MSP430 (Case Study),"Summer 2023, Summer 2025",2,4,,Medium,FALSE,MSP430 is having an orthogonal CPU architecture supported with RISC features. Justify the statement.
"Enlist features of ADC10 block in MSP430, and explain why CPU temperature and power supply is converted in digital.",Embedded Systems,7. MSP430 (Case Study),Winter 2025,1,3,,Low,FALSE,"Enlist features of ADC10 block in MSP430, and explain why CPU temperature and power supply is converted in digital."
"Sketch interfacing diagram to interface one switch at P1.3 and two LEDs at P1.0 and P1.6 with MSP430 board, and write C-program to control them.",Embedded Systems,7. MSP430 (Case Study),Winter 2025,1,7,,Low,FALSE,"Sketch interfacing diagram to interface one switch at P1.3 and two LEDs at P1.0 and P1.6 with MSP430 board, and write C-program to control them."
Write a MSP430 C-program to transmit “GTU EXAM” continuously using UART at 9600 baudrate. Assume SMCLK = 1MHz.,Embedded Systems,7. MSP430 (Case Study),Winter 2025,1,7,,Low,FALSE,Write a MSP430 C-program to transmit “GTU EXAM” continuously using UART at 9600 baudrate. Assume SMCLK = 1MHz.
List the features of MSP430 microcontroller.,Embedded Systems,7. MSP430 (Case Study),Winter 2021,1,3,,Low,FALSE,List the features of MSP430 microcontroller.
What are the key features of the MSP430 architecture?,Embedded Systems,7. MSP430 (Case Study),Winter 2024,1,3,,Low,FALSE,What are the key features of the MSP430 architecture?
"In short, explain and classify Embedded Systems, and list examples of such systems.",Embedded Systems,1. Introduction to Embedded Systems,"Summer 2022, Winter 2022, Winter 2023, Summer 2024, Winter 2024, Summer 2025",6,3.33,,High,TRUE,"Define and classify Embedded Systems, and list examples of such systems."
"Explain and classify Embedded Systems, and list examples of such systems.",Embedded Systems,1. Introduction to Embedded Systems,"Summer 2022, Winter 2022, Winter 2023, Summer 2024, Winter 2024, Summer 2025",6,3.33,,High,TRUE,"Define and classify Embedded Systems, and list examples of such systems."
"To summarize, define and classify Embedded Systems, and list examples of such systems.",Embedded Systems,1. Introduction to Embedded Systems,"Summer 2022, Winter 2022, Winter 2023, Summer 2024, Winter 2024, Summer 2025",6,3.33,,High,TRUE,"Define and classify Embedded Systems, and list examples of such systems."
"Briefly, describe and classify Embedded Systems, and list examples of such systems.",Embedded Systems,1. Introduction to Embedded Systems,"Summer 2022, Winter 2022, Winter 2023, Summer 2024, Winter 2024, Summer 2025",6,3.33,,High,TRUE,"Define and classify Embedded Systems, and list examples of such systems."
"In brief, describe and classify Embedded Systems, and list examples of such systems.",Embedded Systems,1. Introduction to Embedded Systems,"Summer 2022, Winter 2022, Winter 2023, Summer 2024, Winter 2024, Summer 2025",6,3.33,,High,TRUE,"Define and classify Embedded Systems, and list examples of such systems."
Discuss the components of an Embedded System.,Embedded Systems,1. Introduction to Embedded Systems,Winter 2024,1,4,,Low,TRUE,Describe the components of an Embedded System.
"In short, describe the components of an Embedded System.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2024,1,4,,Low,TRUE,Describe the components of an Embedded System.
"Concisely, discuss the components of an Embedded System.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2024,1,4,,Low,TRUE,Describe the components of an Embedded System.
"Briefly, discuss the components of an Embedded System.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2024,1,4,,Low,TRUE,Describe the components of an Embedded System.
"In short, discuss the components of an Embedded System.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2024,1,4,,Low,TRUE,Describe the components of an Embedded System.
Explain the skills required for an embedded system designer.,Embedded Systems,1. Introduction to Embedded Systems,"Winter 2021, Summer 2022, Summer 2023, Summer 2025",4,4.25,,High,TRUE,Describe the skills required for an embedded system designer.
"Briefly, discuss the skills required for an embedded system designer.",Embedded Systems,1. Introduction to Embedded Systems,"Winter 2021, Summer 2022, Summer 2023, Summer 2025",4,4.25,,High,TRUE,Describe the skills required for an embedded system designer.
"In brief, explain the skills required for an embedded system designer.",Embedded Systems,1. Introduction to Embedded Systems,"Winter 2021, Summer 2022, Summer 2023, Summer 2025",4,4.25,,High,TRUE,Describe the skills required for an embedded system designer.
"In brief, discuss the skills required for an embedded system designer.",Embedded Systems,1. Introduction to Embedded Systems,"Winter 2021, Summer 2022, Summer 2023, Summer 2025",4,4.25,,High,TRUE,Describe the skills required for an embedded system designer.
"To summarize, describe the skills required for an embedded system designer.",Embedded Systems,1. Introduction to Embedded Systems,"Winter 2021, Summer 2022, Summer 2023, Summer 2025",4,4.25,,High,TRUE,Describe the skills required for an embedded system designer.
"Explain an embedded processor as GPP, ASIP and Single purpose processor.",Embedded Systems,1. Introduction to Embedded Systems,"Winter 2021, Summer 2023",2,5.5,,Medium,TRUE,"Describe an embedded processor as GPP, ASIP and Single purpose processor."
"Briefly, discuss an embedded processor as GPP, ASIP and Single purpose processor.",Embedded Systems,1. Introduction to Embedded Systems,"Winter 2021, Summer 2023",2,5.5,,Medium,TRUE,"Describe an embedded processor as GPP, ASIP and Single purpose processor."
"In brief, describe an embedded processor as GPP, ASIP and Single purpose processor.",Embedded Systems,1. Introduction to Embedded Systems,"Winter 2021, Summer 2023",2,5.5,,Medium,TRUE,"Describe an embedded processor as GPP, ASIP and Single purpose processor."
"Concisely, explain an embedded processor as GPP, ASIP and Single purpose processor.",Embedded Systems,1. Introduction to Embedded Systems,"Winter 2021, Summer 2023",2,5.5,,Medium,TRUE,"Describe an embedded processor as GPP, ASIP and Single purpose processor."
"In brief, explain an embedded processor as GPP, ASIP and Single purpose processor.",Embedded Systems,1. Introduction to Embedded Systems,"Winter 2021, Summer 2023",2,5.5,,Medium,TRUE,"Describe an embedded processor as GPP, ASIP and Single purpose processor."
"In brief, enlist down the components available on SoC and describe them with a neat diagram.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2021,1,7,,Low,TRUE,List down the components available on SoC and describe them with a neat diagram.
"In brief, list down the components available on SoC and describe them with a neat diagram.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2021,1,7,,Low,TRUE,List down the components available on SoC and describe them with a neat diagram.
Enlist down the components available on SoC and describe them with a neat diagram.,Embedded Systems,1. Introduction to Embedded Systems,Winter 2021,1,7,,Low,TRUE,List down the components available on SoC and describe them with a neat diagram.
"Briefly, list down the components available on SoC and describe them with a neat diagram.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2021,1,7,,Low,TRUE,List down the components available on SoC and describe them with a neat diagram.
"In short, enlist down the components available on SoC and describe them with a neat diagram.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2021,1,7,,Low,TRUE,List down the components available on SoC and describe them with a neat diagram.
"Briefly, describe the use of FPGA and SoC to design Embedded system.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2025,1,4,,Low,TRUE,Describe the use of FPGA and SoC to design Embedded system.
"To summarize, discuss the use of FPGA and SoC to design Embedded system.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2025,1,4,,Low,TRUE,Describe the use of FPGA and SoC to design Embedded system.
"In short, describe the use of FPGA and SoC to design Embedded system.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2025,1,4,,Low,TRUE,Describe the use of FPGA and SoC to design Embedded system.
Explain the use of FPGA and SoC to design Embedded system.,Embedded Systems,1. Introduction to Embedded Systems,Winter 2025,1,4,,Low,TRUE,Describe the use of FPGA and SoC to design Embedded system.
"In short, discuss the use of FPGA and SoC to design Embedded system.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2025,1,4,,Low,TRUE,Describe the use of FPGA and SoC to design Embedded system.
"To summarize, explain the design process in embedded systems with examples.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2024,1,7,,Low,TRUE,Discuss the design process in embedded systems with examples.
"Briefly, describe the design process in embedded systems with examples.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2024,1,7,,Low,TRUE,Discuss the design process in embedded systems with examples.
"Concisely, discuss the design process in embedded systems with illustrations.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2024,1,7,,Low,TRUE,Discuss the design process in embedded systems with examples.
"In short, describe the design process in embedded systems with examples.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2024,1,7,,Low,TRUE,Discuss the design process in embedded systems with examples.
"In short, discuss the design process in embedded systems with illustrations.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2024,1,7,,Low,TRUE,Discuss the design process in embedded systems with examples.
"Briefly, describe criteria to choose microcontroller for designing embedded system.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2025,1,3,,Low,TRUE,Describe criteria to choose microcontroller for designing embedded system.
"To summarize, explain criteria to choose microcontroller for designing embedded system.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2025,1,3,,Low,TRUE,Describe criteria to choose microcontroller for designing embedded system.
"In brief, discuss criteria to choose microcontroller for designing embedded system.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2025,1,3,,Low,TRUE,Describe criteria to choose microcontroller for designing embedded system.
"In short, discuss criteria to choose microcontroller for designing embedded system.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2025,1,3,,Low,TRUE,Describe criteria to choose microcontroller for designing embedded system.
"In short, explain criteria to choose microcontroller for designing embedded system.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2025,1,3,,Low,TRUE,Describe criteria to choose microcontroller for designing embedded system.
"In short, “Increasing the frequency of an embedded system increases the power dissipation” Justify the statement.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2021,1,3,,Low,TRUE,“Increasing the frequency of an embedded system increases the power dissipation” Justify the statement.
"To summarize, “Increasing the frequency of an embedded system increases the power dissipation” Justify the statement.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2021,1,3,,Low,TRUE,“Increasing the frequency of an embedded system increases the power dissipation” Justify the statement.
"Concisely, “Increasing the frequency of an embedded system increases the power dissipation” Justify the statement.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2021,1,3,,Low,TRUE,“Increasing the frequency of an embedded system increases the power dissipation” Justify the statement.
